first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count,mutual_proportion
0,0,0,0,0,0,1.0,1,6.735281167127669e-10
0,0,1,0,0,0,0.9658416511204478,9,6.061753050414902e-09
0,0,1,0,0,1,0.9327520324094832,72,4.8494024403319216e-08
0,0,1,0,0,2,0.6879283579888582,252,1.6972908541161726e-07
0,0,1,0,1,0,0.9290710955077336,81,5.455577745373412e-08
0,0,1,0,1,1,0.8969202342240903,648,4.36446219629873e-07
0,0,1,0,1,2,0.6604397384789465,2124,1.430573719897917e-06
0,0,1,0,2,0,0.6809341618372163,324,2.182231098149365e-07
0,0,1,0,2,1,0.6564026513590572,2448,1.6487968297128534e-06
0,0,1,0,2,2,0.4801772256149973,7200,4.849402440331922e-06
0,0,1,1,0,0,0.927364776682741,81,5.455577745373412e-08
0,0,1,1,0,1,0.895376435039548,648,4.36446219629873e-07
0,0,1,1,0,2,0.6596957189095386,2124,1.430573719897917e-06
0,0,1,1,1,0,0.8918665810147246,729,4.910019970836071e-07
0,0,1,1,1,1,0.8608169907370998,5544,3.73403987905558e-06
0,0,1,1,1,2,0.63320711892386,16524,1.112937860056176e-05
0,0,1,1,2,0,0.6532122537405751,2772,1.86701993952779e-06
0,0,1,1,2,1,0.6295352079724025,19296,1.299639854008955e-05
0,0,1,1,2,2,0.460060400977744,51888,3.494802691999205e-05
0,0,1,2,0,0,0.6774004022789465,324,2.182231098149365e-07
0,0,1,2,0,1,0.6534626041415572,2448,1.6487968297128534e-06
0,0,1,2,0,2,0.4795994758905936,7200,4.849402440331922e-06
0,0,1,2,1,0,0.6510212694710209,2772,1.86701993952779e-06
0,0,1,2,1,1,0.6277980065362024,19296,1.299639854008955e-05
0,0,1,2,1,2,0.4600175403425089,51888,3.494802691999205e-05
0,0,1,2,2,0,0.4756601688885762,9648,6.498199270044775e-06
0,0,1,2,2,1,0.4580050868237955,61536,4.144622619003682e-05
0,0,1,2,2,2,0.3334802962703625,153204,0.00010318720159286275
0,0,2,0,0,1,0.6879283579888582,252,1.6972908541161726e-07
0,0,2,0,0,2,0.5058440054514503,756,5.091872562348518e-07
0,0,2,0,1,0,0.6864071651020253,324,2.182231098149365e-07
0,0,2,0,1,1,0.6622947723121093,2268,1.5275617687045555e-06
0,0,2,0,1,2,0.4862631852659269,6444,4.34021518409707e-06
0,0,2,0,2,0,0.5060157389565373,1296,8.72892439259746e-07
0,0,2,0,2,1,0.4875544356537141,8712,5.867776952801625e-06
0,0,2,0,2,2,0.3557680205687296,22896,1.542109976025551e-05
0,0,2,1,0,0,0.6848726767701685,324,2.182231098149365e-07
0,0,2,1,0,1,0.660890482353438,2268,1.5275617687045555e-06
0,0,2,1,0,2,0.4855127159912733,6444,4.34021518409707e-06
0,0,2,1,1,0,0.6594536609867295,2916,1.9640079883344284e-06
0,0,2,1,1,1,0.636160663644819,19692,1.3263115674307806e-05
0,0,2,1,1,2,0.4666387204584405,52236,3.518241470460809e-05
0,0,2,1,2,0,0.4858550838035608,11304,7.613561831321117e-06
0,0,2,1,2,1,0.46803076567595,71928,4.84455303789159e-05
0,0,2,1,2,2,0.3412103569129752,177624,0.00011963475820298851
0,0,2,2,0,0,0.5020867046053559,1296,8.72892439259746e-07
0,0,2,2,0,1,0.4841100101707325,8712,5.867776952801625e-06
0,0,2,2,0,2,0.3543758783631713,22896,1.542109976025551e-05
0,0,2,2,1,0,0.4831643362831808,11304,7.613561831321117e-06
0,0,2,2,1,1,0.4657124118513005,71928,4.84455303789159e-05
0,0,2,2,1,2,0.3403950996217188,177624,0.00011963475820298851
0,0,2,2,2,0,0.3552165303585403,41616,2.802954610511851e-05
0,0,2,2,2,1,0.3418984871192583,249552,0.00016808028858190442
0,0,2,2,2,2,0.2484148589861257,582516,0.0003923409044350541
0,1,0,0,0,0,0.961616940620142,9,6.061753050414902e-09
0,1,0,0,0,1,0.9290710955077336,81,5.455577745373412e-08
0,1,0,0,0,2,0.6864071651020253,324,2.182231098149365e-07
0,1,0,0,1,0,0.9243026114088716,72,4.8494024403319216e-08
0,1,0,0,1,1,0.8926955237237845,648,4.36446219629873e-07
0,1,0,0,1,2,0.6584463835235107,2400,1.6164674801106406e-06
0,1,0,0,2,0,0.6749500234728589,252,1.6972908541161726e-07
0,1,0,0,2,1,0.6508994443993824,2100,1.4144090450968106e-06
0,1,0,0,2,2,0.4768966048641128,6720,4.526108944309794e-06
0,1,0,1,0,0,0.923195284711556,81,5.455577745373412e-08
0,1,0,1,0,1,0.8917328021660706,729,4.910019970836071e-07
0,1,0,1,0,2,0.6581474259454017,2724,1.834690589925577e-06
0,1,0,1,1,0,0.887174204245995,648,4.36446219629873e-07
0,1,0,1,1,1,0.856650473066078,5496,3.7017105294533672e-06
0,1,0,1,1,2,0.6312051401144178,18240,1.2285152848840869e-05
0,1,0,1,2,0,0.6473779619116239,2124,1.430573719897917e-06
0,1,0,1,2,1,0.6241659415081297,16020,1.0789920429738526e-05
0,1,0,1,2,2,0.4568445763257997,46152,3.108466964252762e-05
0,1,0,2,0,0,0.6740414475139757,324,2.182231098149365e-07
0,1,0,2,0,1,0.6504992151336444,2748,1.8508552647266836e-06
0,1,0,2,0,2,0.4782297540889844,9120,6.1425764244204344e-06
0,1,0,2,1,0,0.6472819599079802,2448,1.6487968297128534e-06
