first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count,mutual_proportion
0,0,0,0,0,0,1.0,1,1.330363486758292e-15
0,0,1,0,0,0,0.996415,25,3.3259087168957297e-14
0,0,1,0,0,1,0.99284,600,7.982180920549752e-13
0,0,1,0,0,2,0.910354,6900,9.179508058632214e-12
0,0,1,0,1,0,0.992842,625,8.314771792239325e-13
0,0,1,0,1,1,0.98928,15000,1.995545230137438e-11
0,0,1,0,1,2,0.907089,172500,2.2948770146580537e-10
0,0,1,0,2,0,0.910374,7500,9.97772615068719e-12
0,0,1,0,2,1,0.907108,180000,2.3946542761649257e-10
0,0,1,0,2,2,0.831742,2070000,2.7538524175896643e-09
0,0,1,1,0,0,0.992842,625,8.314771792239325e-13
0,0,1,1,0,1,0.98928,15000,1.995545230137438e-11
0,0,1,1,0,2,0.907089,172500,2.2948770146580537e-10
0,0,1,1,1,0,0.989282,15625,2.0786929480598312e-11
0,0,1,1,1,1,0.985733,375000,4.988863075343595e-10
0,0,1,1,1,2,0.903836,4312500,5.737192536645134e-09
0,0,1,1,2,0,0.90711,187500,2.4944315376717975e-10
0,0,1,1,2,1,0.903855,4500000,5.986635690412314e-09
0,0,1,1,2,2,0.82876,51742800,6.883673182263694e-08
0,0,1,2,0,0,0.910372,7500,9.97772615068719e-12
0,0,1,2,0,1,0.907106,180000,2.3946542761649257e-10
0,0,1,2,0,2,0.83174,2070000,2.7538524175896643e-09
0,0,1,2,1,0,0.907108,187500,2.4944315376717975e-10
0,0,1,2,1,1,0.903853,4500000,5.986635690412314e-09
0,0,1,2,1,2,0.828758,51742800,6.883673182263694e-08
0,0,1,2,2,0,0.831759,2250000,2.993317845206157e-09
0,0,1,2,2,1,0.828775,53992800,7.183004966784311e-08
0,0,1,2,2,2,0.759915,620532000,8.255331151650964e-07
0,0,2,0,0,1,0.910354,6900,9.179508058632214e-12
0,0,2,0,0,2,0.834469,75900,1.0097458864495435e-10
0,0,2,0,1,0,0.910377,7500,9.97772615068719e-12
0,0,2,0,1,1,0.907089,172500,2.2948770146580537e-10
